States & Union Territories	Male Literacy Rate %	Female Literacy Rate %	Avarage Literacy Rate %
A&N islands	90.11	81.84	86.27
Andhra Pradesh	73.4	59.5	66.4
Arunachal Pradesh	73.69	59.57	66.95
Assam	90.1	81.2	85.9
Bihar	79.7	60.5	70.9
Chhattisgarh	85.4	68.7	77.3
Chandigarh	90.54	81.38	86.43
Dadra and Nagar Haveli	86.46	65.93	77.65
Daman & Diu	91.48	79.59	87.07
Delhi	93.7	82.4	88.7
Goa	92.81	81.84	87.4
Gujarat	89.5	74.8	82.4
Haryana	88	71.3	80.4
Himachal Pradesh	92.9	80.5	86.6
Jammu & Kashmir	85.7	68	77.3
Jharkhand	83	64.7	74.3
Karnataka	83.4	70.5	77.2
Kerala	97.4	95.2	96.2
Lakshadweep	96.11	88.25	92.28
Madhya Pradesh	81.2	65.5	73.7
Maharashtra	90.7	78.4	84.8
Manipur	86.49	73.17	79.85
Meghalaya	77.17	73.78	75.48
Mizoram	93.72	89.4	91.58
Nagaland	83.29	76.69	80.11
Odisha	84	70.3	77.3
Puducherry	92.12	81.22	86.55
Punjab	88.5	78.5	83.7
Rajasthan	80.8	57.6	69.7
Sikkim	87.29	76.43	82.2
Tamil Nadu	87.9	77.9	82.9
Telangana	80.5	65.1	72.8
Tripura	92.18	83.15	87.75
Uttarakhand	94.3	80.7	87.6
Uttar Pradesh	81.8	63.4	73
West Bengal	84.8	76.1	80.5
All-India	84.7	70.3	77.7
